account,out_block_std,out_time_ptp,out_amount_sum,out_amount_max,out_amount_min,out_amount_mean,out_amount_std,out_count,out_unique,out_unique_ratio,in_block_std,in_time_ptp,in_amount_sum,in_amount_max,in_amount_min,in_amount_mean,in_amount_std,in_count,in_unique,in_unique_ratio,to_out_sum_media,to_out_min_std,to_out_sum_min,from_in_sum_min,from_in_min_std,from_in_min_sum,from_in_mean_sum
0x78528cf5e082924f18fead253450323306d9ee7e,304144.0,1420058422.0,9.798824,6.499412,3.299412,4.899412,1.6000000000000003,2,2,1.0,0,0,0,0,0,0,0,0,0,0,829.1007920555721,245.92094200030536,0.038599999999999995,0,0,0,0
0x372ffb3152a5e13182cb895a441e5f4eeddc4999,0.0,1420226241.0,3.85583455,3.85583455,3.85583455,3.85583455,0.0,1,1,1.0,0,0,0,0,0,0,0,0,0,0,85.8567027294015,245.92094200030536,0.015,0,0,0,0
0x83896cea129d59780c5ccfe990d8dffe6eecd12b,3795931.008191114,1428447547.0,20.271729052,1.990216496,1.298163039,1.6893107543333334,0.2634498973336064,12,4,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,881.8950297881623,65.9922751346628,0.0686,0,0,0,0
0x1f67eea8ff614db4620381a3b5fb234c6ebf9372,0,0,0,0,0,0,0,0,0,0,20.5377693115359,1428034540.0,6111300113.0,1528034539.0,1527602627.0,1527825028.25,160276.50363882878,4,0,0.0,0,0,0,1.0916278,224.78017658914465,195779.12279244748,221820.06659467236
0xe9ffaf9f721346407d8ba1edc578b604d78a10b1,0,0,0,0,0,0,0,0,0,0,2.2786855200000002,1427766165.0,3055379749.0,1527766164.0,1527613585.0,1527689874.5,76289.5,2,0,0.0,0,0,0,0.0888,368.7320228035005,195779.12279244748,232520.49657429312
0x67f313562ef02af020fd4fe70f1dc78294b41bdf,95562.89119653088,1430255693.0,65.80305,27.94525,7.99595,13.16061,7.499195262319819,5,1,0.2,1.1242712928956191,1427967349.0,12220901312.0,1527967348.0,1527406724.0,1527612664.0,226340.9108595925,8,1,0.125,16.2868102366851,181.73319434323983,0.042,1.3516278,224.78017658914465,131589.95072464392,199262.53762716526
0xb60418f6d054f420468efe823a20b7ba55ec3868,0,0,0,0,0,0,0,0,0,0,0.0,1427591648.0,1527591647.0,1527591647.0,1527591647.0,1527591647.0,0.0,1,0,0.0,0,0,0,0.0,378.69404679540935,269261.8703561388,269261.8703561388
0xd8c0d7971d5650da90296c02a5b92332738943ea,55177.5,1420454053.0,19.998824,9.999412,9.999412,9.999412,0.0,2,1,0.5,0,0,0,0,0,0,0,0,0,0,85.8567027294015,245.92094200030536,0.015,0,0,0,0
0x9f1991c4ffe2e1cbe5ef1c384e906280ef29f276,1551620.2051546706,1413913675.0,0.0,0.0,0.0,0.0,0.0,3,3,1.0,0.0,1427594290.0,1527594289.0,1527594289.0,1527594289.0,1527594289.0,0.0,1,3,3.0,0,0,0,0.0,378.69404679540935,269261.8703561388,269261.8703561388
0x241a8cba7eaac1c474c36906c98dbb60fd9bfa39,0,0,0,0,0,0,0,0,0,0,0.001016120071643978,1427771184.0,6108555455.0,1527771183.0,1526593823.0,1527138863.75,547845.9717326463,4,0,0.0,0,0,0,0.1618,368.7320228035005,170709.81508170126,211916.9360767625
